Question,Answer
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,"FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP, PLS APPLY REGENT-10KG OR 8KG CARTAP HYDROCHLORIDE OR SPRAY-500ML MONO.+100ML NUVAN IN 150LITE WATER."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
VARRITIES OF RICE?,"PR-121,PR-122,PR-118,PR-116."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
"INFORMATION REGARDING TO CONTROL OF THRIPS,MITES,APHIDS AND WHITEFLY IN CHILLI ?",: SPRAY OF MALATHION @ 400 ML IN 100 LITRES OF WATER/ACRE.
INFORMATION REGARDING TO CONTROL OF GRAM POD BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUNILPHOS] @ 800 ML IN 100 LITRES OF WATER/ACRE.
how are weather today?,no chance of rain
Qury-weather of amritsar ??,Ans-Cloudhy weather no chance for rain.
information regarding to new variety of rice?,"pr 121, pr 122, pusa 1509"
CHANCE OF RAINFALL TODAY.,NO CHANCE OF RAINFALL TODAY
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,NO CHANCE OF RAINFALL TODAY.
control of catterpillar ?,spray alphametrin 250ml in 150lit water per acre.
how are weather today?,no chance of rain.
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
# INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,PR121-PR122
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
HOW TO CONTROL WHITE FLY &TELLA IN BHINDI CROP ?,SPRAY OF MAILATHION @ 400 ML IN 250 LITER WATER.
: INFORMATION REGARDING LATEST VARIETIES OF JOWAR?,LATEST VARIETY OF JOWAR CROP IS SL-44 AND SEED RATE IS 20-25 KG PER ACRE
ASKING ABOUT WEATHER FORCASTING?,NO CHANCE OF RSAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,"THE SEED RATE OF SUMMER MOONG-:SML 668- 15 KG, SML 832- 12 KG/ ACER."
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,SPRAY CONFIDOR @ 80 ML 100 LITERS OF WATER/ACRE.
INFORMATION REGARDINDING TRAINING?,"I TOLD FARMER PLZ CONTECT PAU LUDHIANA ,0161-2401960."
information regarding nursery sowing time of paddy ?,nursery sowing time of paddy-15 may to 30 may for all recommended varieties.
YELLOWING OF LEAVES OF GUAVA?,SPRAY BAVISTIN 200 G IN 200L LITRES OF WATER PER ACRE.
WHAT IS THE VARIETY OF MAIZE?,THE VARIETY OF MAIZE FOR FODDER IS J 1006.
information regarding planting time of brinjal?,planting time of brinjal: april.
INFORMATION REGARDING GOAT FARMING?,I TOLD FARMER PLZ CONTECT GADVU LUDHIANA:0161-2414045.
varrities of rice?,"pr-121,pr-122,pr-118."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
CHANCES OF RAINFALL ?,NO CHANCES OF RAINFALL
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE DISEASE OF COW?,PLS CONTACT -0161-2414042(PAU-LUDHIANA) & 1800 180 1199(NDRI-KARNAL).
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding animals?,01832536283 amritsar.
how are weather today?,no chance of rain
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
INFORMATION REGARDING TO THE SOWING SEASON OF (PETHHA),"THE SOWING TIME OF ASH GOURD-: 1.FEB-MARCH, 2.JUNE-JULY."
INFORMATION REGARDING FOR THE CONTROL OF CATTERPILLER IN BARSEEM CROP?,"FOR THE CONTROL OF CATTERPILLER IN BARSEEM CROP,PLS SPRAY 500ML CHLORO.+100 ML CYPER. MIXWITH 120 LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE CROP?,"FOR THE CONTROL OF WEEDS IN SUGARCANE CROP-PLS SPRAY-800GM ATRAZIN 70WP+100GM SENCOR+400ML 2,4-D 58%."
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,"FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP,PLS SPRAY FAME 480(FLUBENDAMIDE)-30ML OR CORAGEN(CHLORANTRANILIPROLE 18.5% SC)-60ML IN 200LITRE WATER/ACRE."
"INFORMATION REGARDING FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP?","FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP,PLS SPRAY-200GM METHOMYL 40%SL /ACRE IN 150LITRE WATER."
information regarding to catterpiller?,spray of lannate 200g in 100l water
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,"FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP,PLS SPRAY 200ML LAMBDA CYHALOTHRIN MIX WITH 150LITRE WATER/ACRE."
INFORMATION REGARDING TO THE CONTROL OF THRIP IN THE SUMMER MOONG ?,SPRAY OF TRIAZOPHOS 40 EC @ 600 ML OR ROGOR 30 EC (DIMETHOATE) @ 100 ML OR METASYSTOX 25 EC
CONTACT NO. OF ANIMAL HUSBANDRY?,0183-2536283
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3.
 
 SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION ABOUT TIME OF SOWING OF RICE CROP?,AFTER 30TH MAY -AUG
ASKING ABOUT VERITIES OF CUCUMBER,PUNJAB NAVEEN (SEED RATE-1KG/ACRE)
INFORMATION REGARDING IMPROVED VARIETIES OF RICE?,"IMPROVED VARIETIES OF RICE PR 121,PR 122,PR 111,PR 115,PR 118,PR 116."
information regarding dose of urea in chilli?,dose of urea in chilli 55 kg/acre.
IMPROVED VAR. OF RICE?,"IMPROVED VAR. OF RICE PR 121,PR122"
INFORMATION REGARDING POLTRY FARMING?,I TOLD FARMER CONTECT 0161-2401960.
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
#: INFORMATION REGARDING CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL ?,A: SPRAY MALATHION 50EC @ 250ML IN 100LITRES OF WATER/ACRE.
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING IMPROVED VARIETIES OF RICE CROP?,"I TOLD THE KISAN IMPROVED VARIETIES OF RICE CROP:-PR-121,PR-122,PR-118,PR-115."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,"THE SUITABLE VARIETIES OF SUMMER MAIZE-LONG DURATION VARIETIES-PMH-1,PARBHAT,SHORT DURATION VARIETIES-PMH-2,JH-3459."
INFORMATION RREGARDING CONTROL OF FLOWER DROPING IN POMEGRANATE?,SPRAY PLANOFIX @ 1 ML IN 4.5 LITERS OF WATER.
INFORMATION REGARDING SEED RATE OF RICE CROP?,I TOLD THE KISAN SEED RATE OF RICE CROP:-8-10 KG PER ACRE.
GUAVA BORER PROBLEM?,SPRAY SUMICIDIN 1 ML IN 1 LITRE OF WATER.
WHAT IS THE YIELD OF BASMATIS NEW VARIETIES?,THE YIELD OF BASMATIS NEW VARIETIES IS AVERAGE 16 Q PER ACRE.
INFORMATION REGARDING TO THE SOWING TIME OF SUMMER MOONG,THE SOWING TIME OF SUMMER MOONG -: MARCH 20 TO APRIL 10.
WHICH IS THE NEW VARIETY OF AMERICAN COTTON?,THE NEW VARIETY OF AMERICAN COTTON IS NCS 855 BG II.
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"VARIETIES OF RICE: PR-121 AND PR-122, PR-118,PR-116,PR-114,PR-111,PR-115,PR-113."
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
control of leaf borer in radish?,150g of carbaryl in 60lit water per acre
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"VARIETIES OF RICE: PR-121 AND PR-122, PR-118,PR-116,PR-114,PR-111,PR-115,PR-113."
information regarding catterpiller in barseem?,spray of 60 ml alfamethrin with 100 ltr water
INFORMATION REGARDING IMPROVED VARIETIES OF BASMATI RICE ?,"PUNJAB BASMATI-3 AND PUSA PUNAJB-1509, PUNJAB MEHAK-1,PUSA BASMATI -1121,BASMATI-370,PUSA BASMATI NO -1"
information regarding new varieties of paddy ?,"New varieties of paddy -PR-121 , PR-122 , PUSA PUNJAB BASMATI-1509 , PUNJAB BASMATI -3"
WHAT IS THE DURATION OF GARLIC?,THE DURATION OF GARLIC IS 165 TO 170 DAYS .
information regarding new varieties of paddy ?,"New varieties of paddy -PR-121 , PR-122 , PUSA PUNJAB BASMATI-1509 , PUNJAB BASMATI -3"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -NCS 855 BG-II,ANKUR-3028 BG-II,MRC-7017 BG II & MRC-7031 BG II."
information regarding new varieties of paddy ?,"New varieties of paddy -PR-121 , PR-122 , PUSA PUNJAB BASMATI-1509 , PUNJAB BASMATI -"
how to control of weed of sugarcane ?,"&#2616;&#2613;&#2622;&#2610;-&#2581;&#2606;&#2622;&#2598; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2600;&#2598;&#2624;&#2600;&#2622;&#2562; &#2598;&#2624; &#2608;&#2635;&#2581;&#2597;&#2622;&#2606; &#2604;&#2622;&#2608;&#2631; &#2588;&#2622;&#2595;&#2581;&#2622;&#2608;&#2624; ? &#2588;&#2613;&#2622;&#2604;-&#2581;&#2606;&#2622;&#2598; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2600;&#2598;&#2624;&#2600;&#2622;&#2562; &#2598;&#2624; &#2608;&#2635;&#2581;&#2597;&#2622;&#2606; &#2610;&#2568; -800 &#2583;&#2637;&#2608;&#2622;&#2606; &#2565;&#2591;&#2637;&#2608;&#2588;&#2623;&#2600; +100 &#2583;&#2637;&#2608;&#2622;&#2606; &#2616;&#2632;&#2562;&#2581;&#2635;&#2608;+400 &#2583;&#2637;&#2608;&#2622;&#2606; 2,4-&#2593;&#2623; 58 % &#2600;&#2626;&#2672; 200 &#2610;&#2624;&#2591;&#2608; &#2602;&#2622;&#2595;&#2624; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2606;&#2610;&#2622; &#2581;&#2631; &#2616;&#2602;&#2637;&#2608;&#2631; &#2581;&#2608;&#2635; &#2404;"
how to control of weed of sugarcane ?,"&#2616;&#2613;&#2622;&#2610;-&#2581;&#2606;&#2622;&#2598; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2600;&#2598;&#2624;&#2600;&#2622;&#2562; &#2598;&#2624; &#2608;&#2635;&#2581;&#2597;&#2622;&#2606; &#2604;&#2622;&#2608;&#2631; &#2588;&#2622;&#2595;&#2581;&#2622;&#2608;&#2624; ? &#2588;&#2613;&#2622;&#2604;-&#2581;&#2606;&#2622;&#2598; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2600;&#2598;&#2624;&#2600;&#2622;&#2562; &#2598;&#2624; &#2608;&#2635;&#2581;&#2597;&#2622;&#2606; &#2610;&#2568; -800 &#2583;&#2637;&#2608;&#2622;&#2606; &#2565;&#2591;&#2637;&#2608;&#2588;&#2623;&#2600; +100 &#2583;&#2637;&#2608;&#2622;&#2606; &#2616;&#2632;&#2562;&#2581;&#2635;&#2608;+400 &#2583;&#2637;&#2608;&#2622;&#2606; 2,4-&#2593;&#2623; 58 % &#2600;&#2626;&#2672; 200 &#2610;&#2624;&#2591;&#2608; &#2602;&#2622;&#2595;&#2624; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2606;&#2610;&#2622; &#2581;&#2631; &#2616;&#2602;&#2637;&#2608;&#2631; &#2581;&#2608;&#2635; &#2404;"
weather of amritsar ?,"Some drizzle, heaviest during Sun night"
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,THE SOWING TIME OF RICE IN PUNJAB IS STARTING FROM 1st OF MAY.
HOW MANY IRRIGATIONS DO MOONG NEED?,MOONG NEED 3 TO 5 IRRIGATIONS
WHAT IS THE YIELD OF PR 122?,THE YIELD OF PR 122 IS 31.5 Q PER ACRE.
information regarding new varieties of paddy ?,"New varieties of paddy -PR-121 , PR-122 , PUSA PUNJAB BASMATI-1509 , PUNJAB BASMATI -3"
information regarding new varieties of paddy ?,"New varieties of paddy -PR-121 , PR-122 , PUSA PUNJAB BASMATI-1509 , PUNJAB BASMATI -3"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,"THE SUITABLE VARIETIES OF BLACK GRAM(MAH)-MAH-114,MAH-338."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,"THE SUITABLE VARIETIES OF BLACK GRAM(MAH)-MAH-114,MAH-338."
for control of bhahbu kutta in barseem?,spray coragen 60 ml+ 200 lt water/acre
for control of bhahbu kutta in barseem?,spray coragen 60 ml+ 200 lt water/acre
WHAT IS THE YIELD OF PR 122?,THE YIELD OF PR 122 IS 31.5 Q PER ACRE.
varieties of summer moong?,"SML832,SML668"
varieties of paddy ?,"pr-121 pr-122 , hkr -47"
varieties of paddy ?,"pr-121 pr-122 , hkr -47"
improved varieties paddy ?,"pr-121 ,pr-122 ,pr-114 ,pr-116"
improved varieties paddy ?,"pr-121 ,pr-122 ,pr-114 ,pr-116"
CONTROL OF DOWNY MILDEW IN THE ONION ?,SPRAY OF INDOFIL M-45 @ 600 GM IN THE 200 LITRES OF WATER/ACRE.
WHAT IS THE YIELD OF PR 121?,THE YIELD OF PR 121 IS 30.5 QUINTALS PER ACRE.
information regarding to new varieties of rice,"p.r.-121, p.r.-122 - new varieties of rice yield-30.5 quntl-31.5 quntl /aCRE"
information regardingh to seed treatment of sugarcane?,bavistin 2g?1liter of water
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,"THE SUITABLE VARIETIES OF BLACK GRAM(MAH)-MAH-114,MAH-338."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to controll of caterpiller in black gram?,corogen 60ml in 200liter of water/acre
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF GREEN GRAM(MOONGI)?
WHAT ARE THE NEW VARIETIES OF RICE?,PR 121 AND PR 122 ARE THE NEW VARIETIES OF RICE
WHAT IS THE TIME OF PLANTING OF NURSERY?,THE TIME OF PLANTING OF NURSERY IS FROM 1 MAY.
information regarding chance of rainfall today?,10% chance of rainfall today.
CONTACT NUMBER OF DAIRY IN AMRITSAR?,PROVIDED THE NUMBER 0183-2263083
INFORMATION REGARDING TO CONTROLL OF FRUIT BORER IN TOMATO CROP?,SUMICIDINE 20EC 100ML IN 100 LITER OF WATER
dropping of flowers?,SPRY PLANOFIX 1 ML IN 4.5 LITES OF WATER .
INFORMATION CHANCE OF RAINFALL TODAY?,10% CHANCE OF RAINFALL TODAY.
how are weather today?,chance of rain
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE IS-NORMAL VARIETIES-6-8 KG & HYBRID VARIETIES-3-4 KG.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
"INFORMATION REGARDING THE CONTAC NO. OF PAU, LUDHIANA.?","CONTAC NO. OF PAU, LUDHIANA IS 0161-2401960."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to control of fruit borer in brinjal,spray of fenwelrate 20 e.c. 100 m.l.+100-125 ltr water /acre in brinjal
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to contrrol of bihar hairy catterpiller in mungbean,spray of dichlorovos 200 m.l.+80-100 ltr water ./acre in mungbean
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,THE SOWING TIME OF RICE IN PUNJAB IS STARTING FROM 1st OF MAY.
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,"FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP,PLS SPRAY 200ML LAMBDA CYHALOTHRIN MIX WITH 150LITRE WATER/ACRE."
INFORMATION REGARDING THE CONTROL OF BIHARI CATERPILLAR IN BARSEEM.?,SPRAY ROGOR (Dimethoate 30%)@ 200 ML IN 100 LT OF WATER PER ACRE.
information regarding to seed treatment in cotton,0.5 gm amisan-6+0.25 gm satreptocycline /ltr water /kg seeed for control of fungus
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
NEW VARITY OF RICE?,PR 121 AND PR 122.
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
INFORMATION REGARDING THE CONTACT NO. OF VERKA MILK PLANT,Milk Plant Verka Amritsar. Ph- 0183 ? 2264450/ 2263072
WHAT IS THE SOWING TIME OF VAEGETABLES?,THE SOWING TIME OF VAEGETABLES IS FEBRUARY TO MARCH AND JUNE JULY
flower droping in moong?,spray m-45 500gm in 200 liters water for the control of flower droping in moong.
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,10% CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,"FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP, PLS APPLY REGENT-10KG OR 8KG CARTAP HYDROCHLORIDE OR SPRAY-500ML MONO.+100ML NUVAN IN 150LITE WATER."
information regarding to varieties of kharif maize,"p.m.h.-1, p.m.h.-2.,prabhat - varieties of kharif maize"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
IF THERE ARE ANY CHANCES OF RAINFALL IN UPCOMING DAYS. .?,THERE ARE NO CHANCES OF RAIN IN UPCOMING DAYS.
information regarding to new variety?,"pr 121, pr 122 pusa 1509"
what are the new varieties of rice?,the new varieties of rice are pr 121 and pr 122.
WHAT IS THE DATE OF NURSERY PLANTING OF RICE?,THE DATE OF NURSERY PLANTING OF RICE IS FROM 1 MAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,"SUITABLE VARIETIES OF SUGARCANE -EARLY-COJ-85,COJ-83,COJ-64, MEDIUM-COH-119,COJ-88,COJ-238,COJ-239,COH-8436,LATE-COJ-89."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,"THE SUITABLE VARIETIES OF SUMMER MAIZE-LONG DURATION VARIETIES-PMH-1,PARBHAT,SHORT DURATION VARIETIES-PMH-2,JH-3459."
which are the varieties of rice?,"they are pr 111,,113,114,,118,,121 and 122"
info,INFORMATION REGARDING THE LATESTVARIETIES OF BASMATI RICE ?
information regarding to new varieties of rice,"p.r.-121, p.r.-122 - new varieties of rice yield-30.5 quntl-31.5 quntl /aCRE"
INFORMATION REGARDING FOR THE CONTROL OF POWDRY MILDEW DISEASE IN WATERMELON CROP?,"FOR THE CONTROL OF POWDRY MILDEW DISEASE IN WATERMELON CROP,PLS SPRAY KARATHANE(DINOCAPLONILE 75%WP)-150 GM/ACRE IN 150 LITRE WATER."
information regarding to control of maize borer in maize,spray of cypermathrine 10 e.c. 40 m.l.+80-100 ltr water /acre in maize
information regarding to suitable varieties of rice,"P.r.-121-P.r.-122, P.r.-118, P.r.-116,P.r.-114,P.r.-111,P.r.-115- varieties of rice"
new varieties of paddy?,"PR121,PR122."
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,"Some drizzle, heaviest during Thu morning. Warm (max 35Â°C on Wed afternoon, min 25Â°C on Tue night). Wind will be generally light."
information regarding improved varieties of rice?,"i told the kisan improved varieties of rice:-pr-122,pr-121,pr-118."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to contrrol of bihar hairy catterpiller in mungbean,spray of dichlorovos 200 m.l.+80-100 ltr water ./acre in mungbean
ANIMAL HUSBANDRY CONTAct no.?,0183-2536283.
information regarding to suitable varieties of rice,"P.r.-121-P.r.-122, P.r.-118, P.r.-116,P.r.-114,P.r.-111,P.r.-115- varieties of rice"
